Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2022-05-19,3084.846923828125,3220.130269583436,3054.6316507355355,3212.5646184361035,4642963
2022-05-20,3114.211181640625,3133.9763530873615,3092.5072658928084,3130.2881904738747,3065125
2022-05-23,3141.400390625,3157.619163838468,3089.62296264676,3125.370712523878,2293690
2022-05-24,3109.482666015625,3144.3320394654706,3097.755998923722,3135.158502609879,1711510
2022-05-25,3015.84619140625,3135.0464009739635,3002.8980854939036,3135.0464009739635,3548046
2022-05-26,3072.303955078125,3086.1567179773433,3028.1276878155436,3038.0768431484507,2813186
2022-05-27,3105.008056640625,3121.764468544935,3074.4462989521776,3097.296141727654,3103153
2022-05-30,3213.496826171875,3224.3029895064724,3128.8573019799987,3138.99682568363,2094624
2022-05-31,3203.119384765625,3221.256260209426,3165.6550731046714,3193.408016333242,4840965
2022-06-01,3194.408203125,3225.6363703174998,3179.984331812497,3225.6363703174998,1493835
2022-06-02,3258.95849609375,3267.5271862675286,3185.934260767557,3194.217281447424,2657939
2022-06-03,3275.28662109375,3310.656410552357,3266.7655809749126,3293.6140978740787,1913622
2022-06-06,3266.52783203125,3287.521171840861,3215.306053992289,3254.1984840289783,1084210
2022-06-07,3201.548828125,3255.0080835704493,3195.169959616278,3238.0610688817346,2308256
2022-06-08,3241.01220703125,3250.342606335813,3186.125071449585,3218.16236339916,2185707
2022-06-09,3262.862548828125,3272.2880163295176,3192.4088644497765,3222.780021901489,1279197
2022-06-10,3198.8828125,3230.396648198138,3191.3614986030525,3219.923803184822,1527582
2022-06-13,3065.306884765625,3135.189236353081,3039.4578574278717,3132.3330056488417,3030921
2022-06-14,3056.690185546875,3083.681423087163,3022.5581396388056,3037.1249610183345,2611493
2022-06-15,3052.64404296875,3079.016525159322,3047.5979891883085,3064.2593340214216,1404536
2022-06-16,2991.425048828125,3089.346232279215,2982.9040086876616,3084.728567219327,2032028
2022-06-17,2940.8701171875,2969.289704408758,2878.937703453666,2943.8216484270556,5240434
2022-06-20,2963.243408203125,2988.330722055883,2921.9233726768634,2945.725290017014,1502769
2022-06-21,3058.022705078125,3082.5863303860924,2975.620420339703,2980.000066128784,2964461
2022-06-22,3068.49560546875,3094.7730158076597,3030.460187151126,3046.5501906759378,3336315
2022-06-23,3150.231689453125,3158.9907493223745,3068.495805087689,3068.495805087689,3692578
2022-06-24,3135.2841796875,3184.696872262954,3120.4316887419527,3178.9844115055316,2132118
2022-06-27,3155.848388671875,3201.7384361816194,3148.041406720522,3189.4567405152725,2037686
2022-06-28,3159.13330078125,3170.4155029798085,3115.766391790574,3148.5177382445127,1400046
2022-06-29,3132.80859375,3173.271856243352,3114.2430968412855,3114.2430968412855,2133994
2022-06-30,3110.52978515625,3152.2305573983467,3099.0095644595945,3115.194867868446,2719603
2022-07-01,3156.229736328125,3173.2718172277805,3096.2012505732123,3103.7702142701964,1502879
2022-07-04,3080.01611328125,3158.943187408182,3070.495345235028,3153.2783769088046,2622535
2022-07-05,3062.16455078125,3115.195180190626,3053.2625400376496,3099.0098751590735,2170627
2022-07-06,3104.484375,3111.862970079736,3048.7878831077974,3064.259130855631,2182144
2022-07-07,3130.28564453125,3160.3234801282706,3108.5782480802477,3114.2430582710344,1989921
2022-07-08,3108.958740234375,3146.6134193198004,3094.249202054267,3141.853035932025,2136916
2022-07-11,2964.57666015625,3070.447549322278,2957.1504149441844,3052.5008094298382,6974600
2022-07-12,2936.871337890625,2985.903294416545,2932.634642504181,2965.6240115400283,3734815
2022-07-13,2893.123291015625,2960.958761022984,2889.5530031205008,2955.2463003907856,3863530
2022-07-14,2862.576416015625,2918.1812767852493,2832.2681871841132,2917.226686900792,4764908
2022-07-15,2858.614990234375,2891.3572371602795,2818.903957416189,2881.4773715883616,4574806
2022-07-18,2924.385986328125,2937.2251731157303,2877.420212626457,2885.72509765625,3202795
2022-07-19,2934.64794921875,2939.134475060165,2892.4551229807694,2892.4551229807694,1865074
2022-07-20,3021.086181640625,3027.9114062480317,2957.3673054041365,2966.674556989242,3402251
2022-07-21,3033.018310546875,3039.4140157908796,3001.278198729963,3023.185988696519,2420640
2022-07-22,3027.0048828125,3051.8242227535675,3000.7536578748322,3040.369142780767,2075886
2022-07-25,3022.947509765625,3041.7528838360518,3006.099091564742,3021.2769774716044,1797504
2022-07-26,2974.406494140625,3024.9997574450317,2955.887543813132,3020.99052658646,2639367
2022-07-27,3044.044189453125,3049.0557865822516,2968.7746803016184,2973.5476299484058,1389808
2022-07-28,3112.440673828125,3115.7817388053977,3056.2629594885852,3069.961419117083,2106333
2022-07-29,3151.9599609375,3166.6607836598564,3126.2815885917953,3140.6004355624445,2430257
2022-08-01,3149.00146484375,3175.9208556023086,3122.4638168545694,3175.9208556023086,1306913
2022-08-02,3142.3193359375,3162.461044639157,3123.084208049837,3140.6010273663996,1269114
2022-08-03,3187.852783203125,3196.92138671875,3128.2386940717697,3131.0546875,2895824
2022-08-04,3202.6015625,3234.0552552951744,3157.163219912903,3197.876388775185,2150567
2022-08-05,3212.24267578125,3223.6499780712015,3202.649001015363,3208.5674115748116,1106933
2022-08-08,3221.2158203125,3225.463698728798,3184.511885509118,3212.1949924275127,1068836
2022-08-10,3201.93359375,3231.2872370406944,3183.5577357550123,3231.2872370406944,1878359
2022-08-11,3267.08349609375,3273.0019060719005,3221.7882580034398,3245.60522621439,1449248
2022-08-12,3247.08544921875,3263.7429970209037,3227.707226872457,3263.7429970209037,1472354
2022-08-16,3238.63720703125,3259.7815138010574,3233.6733860089507,3256.1062493510058,839942
2022-08-17,3246.656005859375,3262.7407068512844,3218.0183070621824,3231.382566500872,1622326
2022-08-18,3227.706787109375,3237.9686275415897,3209.3309333121533,3236.0594479262936,1430659
2022-08-19,3232.002685546875,3266.129273749873,3218.1611322897147,3233.1959228966302,1398410
2022-08-22,3202.2197265625,3230.4279058714847,3195.3942686659707,3212.19514481446,1536532
2022-08-23,3135.446044921875,3190.1438591582005,3121.5089393106236,3169.190657690176,1849256
2022-08-24,3107.5244140625,3157.7834805294233,3102.608136102807,3142.510041687685,1691923
2022-08-25,3072.06103515625,3129.288650546516,3068.767746756177,3127.23637557298,1946930
2022-08-26,3075.8798828125,3109.0996617627147,3070.725189981519,3087.4305151521817,1457962
2022-08-29,2990.300537109375,2999.9895310462725,2941.09138281145,2983.0933369963586,2539173
2022-08-30,3065.3310546875,3079.9841018728234,2999.4168130402277,3011.7309286870473,3431525
2022-09-01,2989.4892578125,3045.141897726616,2979.2751921018084,3045.141897726616,3546935
2022-09-02,2988.248046875,3019.367769973728,2978.6068289848536,3019.367769973728,2052900
2022-09-05,2991.111572265625,3005.0009004022227,2970.9220913106537,2981.8043217586674,2147912
2022-09-06,2985.050537109375,2998.2239249743907,2965.290571838944,2993.1167755418574,1936453
2022-09-07,3006.576171875,3018.3174401457472,2961.1376034997,2961.1376034997,1291534
2022-09-08,3025.715576171875,3038.93673860342,3016.599429694309,3026.0497758356655,1346113
2022-09-09,3071.5361328125,3086.666476118127,3024.618131925247,3049.9147645577286,1561185
2022-09-12,3095.687255859375,3121.3180877823274,3078.552413841233,3092.775710066458,1785928
2022-09-13,3082.704833984375,3115.2562081283763,3078.5522749035376,3115.2562081283763,1972678
2022-09-14,2978.702392578125,2998.7487815672916,2972.402238728328,2992.6394990970302,5090269
2022-09-15,2963.38134765625,2995.264558152945,2959.228788231736,2987.8664861823654,2138023
2022-09-16,2872.074462890625,2953.835224167203,2863.7695777260524,2936.3184070284456,5322221
2022-09-19,2891.261474609375,2903.8620126689057,2852.123294951444,2898.134474182379,2072220
2022-09-20,2902.239501953125,2940.0888954282755,2892.4071801095774,2911.4989766779577,1544295
2022-09-21,2864.91455078125,2903.2890099731576,2862.0030055958396,2890.4976012605634,2253818
2022-09-22,2870.83349609375,2892.3595443801382,2844.0096604458486,2854.2237254948122,2017983
2022-09-23,2846.634765625,2885.247879217424,2843.72321991355,2867.587966639914,2652374
2022-09-26,2858.42431640625,2888.446359543044,2793.2260032578497,2825.4434170385543,2925489
2022-09-27,2880.427001953125,2887.6342016954604,2840.8593005770877,2872.7425073014188,2227447
2022-09-28,2897.80078125,2911.4514636406343,2844.6779457202183,2844.6779457202183,2739767
2022-09-29,2861.192626953125,2917.083917543226,2854.224073407211,2915.317832838001,2493902
2022-09-30,2868.11328125,2882.575225772674,2816.1359050766923,2855.035445544165,2817353
2022-10-03,2849.403076171875,2883.5296651061894,2838.950363374857,2858.996751280328,1763331
2022-10-04,2950.780517578125,2957.3195517065715,2885.725308201732,2892.3596614890116,2145875
2022-10-06,2961.08935546875,2982.1381041269483,2952.0207536796315,2969.7284385207863,1790816
2022-10-07,2925.72265625,2964.001806619972,2919.231631007355,2956.746829749243,1939879
2022-10-10,2976.936279296875,2985.0025170701933,2868.5425531806627,2873.3155025203973,3064063
2022-10-11,2930.161376953125,3002.1851359080347,2914.69706769696,2959.228591833039,4730645
