Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2020-08-06,863.4279174804688,866.5851625169864,838.2147939327086,847.997672164284,10976491
2020-08-07,845.685302734375,862.1827805339809,843.9955112941032,862.1827805339809,8010948
2020-08-10,846.0853271484375,850.9323082589474,840.7047563465038,843.9064573403242,5716319
2020-08-11,843.50634765625,855.5570625773638,841.4163368158215,844.7959195736606,6802442
2020-08-12,849.287109375,852.7110944996123,837.9478659527133,843.1060991629693,6908726
2020-08-13,845.9520263671875,861.3378122605587,843.3284258916622,849.153673342286,5097703
2020-08-14,848.08642578125,856.4463600426581,846.7079404194653,850.087468678546,4663873
2020-08-17,851.5550537109375,864.8508849881571,848.5312333740859,848.5312333740859,9008210
2020-08-18,860.492919921875,861.9603731221357,852.6221727467841,857.2468161699777,6141761
2020-08-19,853.1558227539062,864.0503906281122,851.5105423794882,863.4723440854801,6622744
2020-08-20,849.4649047851562,858.6696797429232,846.040865725153,852.7999760425731,5656501
2020-08-21,843.8175659179688,856.846600594148,841.8165229713601,856.4908379131564,6513773
2020-08-24,842.572509765625,846.663509210871,835.2798090190104,842.2167470826626,5798574
2020-08-25,834.301513671875,843.6842254677251,830.2994276370913,842.6614484350185,6233918
2020-08-26,845.5963134765625,848.6645903393826,834.5683754716551,837.1030082860296,5153601
2020-08-27,842.2612915039062,854.6233132195788,840.6160110579463,853.7784174709359,6154280
2020-08-28,831.7669067382812,847.1082370149295,829.8103204263551,846.174427767487,7593610
2020-08-31,825.8527221679688,845.3295639226611,813.401786981312,831.7669380943386,12808355
2020-09-01,813.00146484375,831.5444394547156,811.178249117934,823.7626064651662,6907773
2020-09-02,821.76171875,823.8961864854351,812.4235174005682,813.7575461647727,5678118
2020-09-03,832.03369140625,844.3512556693266,821.7616812470158,823.9850624192209,8827948
2020-09-04,817.4483642578125,826.6531408319374,813.2683966914964,813.7575297054575,8650342
